################################################################
# K2GAP DR1                             
# Stello et al. 2017, ApJ, 835, 83
# Frequency            Power density                                                   
# MicroHertz           Parts per million squared per microHertz
################################################################
1.0465083E+01          5.1307563E+02
1.0493992E+01          4.3836446E+02
1.0522901E+01          3.3608741E+02
1.0551811E+01          2.3884334E+02
1.0580720E+01          1.6631629E+02
1.0609629E+01          1.2037155E+02
1.0638538E+01          9.4495607E+01
1.0667447E+01          8.2102205E+01
1.0696356E+01          7.8800972E+01
1.0725265E+01          7.9820316E+01
1.0754174E+01          7.7602681E+01
1.0783083E+01          6.8466326E+01
1.0811992E+01          6.7249775E+01
1.0840901E+01          1.1690696E+02
1.0869810E+01          2.7819694E+02
1.0898719E+01          5.9245477E+02
1.0927628E+01          1.0372692E+03
1.0956538E+01          1.5153493E+03
1.0985447E+01          1.8928950E+03
1.1014356E+01          2.0727574E+03
1.1043265E+01          2.0572006E+03
1.1072174E+01          1.9260931E+03
1.1101083E+01          1.7509006E+03
1.1129992E+01          1.5662715E+03
1.1158901E+01          1.3974829E+03
1.1187810E+01          1.2693944E+03
1.1216719E+01          1.2063241E+03
1.1245628E+01          1.1986178E+03
1.1274537E+01          1.1575175E+03
1.1303446E+01          9.7996966E+02
1.1332355E+01          6.6983187E+02
1.1361265E+01          3.5394770E+02
1.1390174E+01          1.7346144E+02
1.1419083E+01          1.5368764E+02
1.1447992E+01          2.0118264E+02
1.1476901E+01          2.4696843E+02
1.1505810E+01          3.4994311E+02
1.1534719E+01          6.0793669E+02
1.1563628E+01          9.7041991E+02
1.1592537E+01          1.2074590E+03
1.1621446E+01          1.1163282E+03
1.1650355E+01          7.5481541E+02
1.1679264E+01          4.2669887E+02
1.1708173E+01          3.7332109E+02
1.1737082E+01          5.0484015E+02
1.1765991E+01          5.1327902E+02
1.1794901E+01          2.5894385E+02
1.1823810E+01          8.9493672E+00
1.1852719E+01          2.0299870E+02
1.1881628E+01          9.4912473E+02
1.1910537E+01          1.8369567E+03
1.1939446E+01          2.2733559E+03
1.1968355E+01          2.0323617E+03
1.1997264E+01          1.4979064E+03
1.2026173E+01          1.2566607E+03
1.2055082E+01          1.4836694E+03
1.2083991E+01          1.8284678E+03
1.2112900E+01          1.8050718E+03
1.2141809E+01          1.2682139E+03
1.2170718E+01          5.6270601E+02
1.2199628E+01          1.7566036E+02
1.2228537E+01          2.8804430E+02
1.2257446E+01          6.8449977E+02
1.2286355E+01          1.0005299E+03
1.2315264E+01          1.0264238E+03
1.2344173E+01          8.1404166E+02
1.2373082E+01          5.5445721E+02
1.2401991E+01          4.0104584E+02
1.2430900E+01          3.7490268E+02
1.2459809E+01          3.8405470E+02
1.2488718E+01          3.1977797E+02
1.2517627E+01          1.6382420E+02
1.2546536E+01          2.5375301E+01
1.2575445E+01          4.0723159E+01
1.2604355E+01          2.0895248E+02
1.2633264E+01          3.4973969E+02
1.2662173E+01          2.8176052E+02
1.2691082E+01          8.0013173E+01
1.2719991E+01          1.0901411E+02
1.2748900E+01          7.0800146E+02
1.2777809E+01          1.7898088E+03
1.2806718E+01          2.7913851E+03
1.2835627E+01          3.1011193E+03
1.2864536E+01          2.5721012E+03
1.2893445E+01          1.6362899E+03
1.2922354E+01          9.1035265E+02
1.2951263E+01          6.6599370E+02
1.2980172E+01          6.9846695E+02
1.3009081E+01          6.7735151E+02
1.3037991E+01          5.2819047E+02
1.3066900E+01          4.3726573E+02
1.3095809E+01          5.4696086E+02
1.3124718E+01          7.3839909E+02
1.3153627E+01          7.5349501E+02
1.3182536E+01          5.0890624E+02
1.3211445E+01          2.3020913E+02
1.3240354E+01          2.3966928E+02
1.3269263E+01          6.4047350E+02
1.3298172E+01          1.2149668E+03
1.3327081E+01          1.6031366E+03
1.3355990E+01          1.5844664E+03
1.3384899E+01          1.2102210E+03
1.3413808E+01          7.2012489E+02
1.3442718E+01          3.8460647E+02
1.3471627E+01          3.8948716E+02
1.3500536E+01          7.8437100E+02
1.3529445E+01          1.4707581E+03
1.3558354E+01          2.2232876E+03
1.3587263E+01          2.7692790E+03
1.3616172E+01          2.9099932E+03
1.3645081E+01          2.6143185E+03
1.3673990E+01          2.0210416E+03
1.3702899E+01          1.3454115E+03
1.3731808E+01          7.6461177E+02
1.3760717E+01          3.6034596E+02
1.3789626E+01          1.2865648E+02
1.3818535E+01          2.4372804E+01
1.3847445E+01          6.6761915E+00
1.3876354E+01          5.9757992E+01
1.3905263E+01          1.7496679E+02
1.3934172E+01          3.1908041E+02
1.3963081E+01          4.4267901E+02
1.3991990E+01          5.3799987E+02
1.4020899E+01          6.8031695E+02
1.4049808E+01          9.7699626E+02
1.4078717E+01          1.4304279E+03
1.4107626E+01          1.8496150E+03
1.4136535E+01          1.9549186E+03
1.4165444E+01          1.6149339E+03
1.4194353E+01          9.7931182E+02
1.4223262E+01          3.7219362E+02
1.4252172E+01          4.5970251E+01
1.4281081E+01          1.2722105E+01
1.4309990E+01          9.7381069E+01
1.4338899E+01          1.4116743E+02
1.4367808E+01          1.3274208E+02
1.4396717E+01          1.5802167E+02
1.4425626E+01          2.6946228E+02
1.4454535E+01          4.2602798E+02
1.4483444E+01          5.5641173E+02
1.4512353E+01          6.6357214E+02
1.4541262E+01          8.5105526E+02
1.4570171E+01          1.2332802E+03
1.4599080E+01          1.7878114E+03
1.4627989E+01          2.2728769E+03
1.4656898E+01          2.3312878E+03
1.4685808E+01          1.7761955E+03
1.4714717E+01          8.5219545E+02
1.4743626E+01          2.1226403E+02
1.4772535E+01          5.1862177E+02
1.4801444E+01          1.8608988E+03
1.4830353E+01          3.5183570E+03
1.4859262E+01          4.4403104E+03
1.4888171E+01          4.0624020E+03
1.4917080E+01          2.7422820E+03
1.4945989E+01          1.4297537E+03
1.4974898E+01          8.0409111E+02
1.5003807E+01          7.4418538E+02
1.5032716E+01          6.9633533E+02
1.5061625E+01          4.2687484E+02
1.5090535E+01          2.9544840E+02
1.5119444E+01          7.8524601E+02
1.5148353E+01          1.8162282E+03
1.5177262E+01          2.6515211E+03
1.5206171E+01          2.5784619E+03
1.5235080E+01          1.6289896E+03
1.5263989E+01          5.3784300E+02
1.5292898E+01          1.8750951E+01
1.5321807E+01          1.4620810E+02
1.5350716E+01          4.3769054E+02
1.5379625E+01          4.7413796E+02
1.5408534E+01          3.3089084E+02
1.5437443E+01          3.8027023E+02
1.5466352E+01          7.8543975E+02
1.5495262E+01          1.2726947E+03
1.5524171E+01          1.4194369E+03
1.5553080E+01          1.1088167E+03
1.5581989E+01          6.1791987E+02
1.5610898E+01          3.0653515E+02
1.5639807E+01          2.9511278E+02
1.5668716E+01          4.2791332E+02
1.5697625E+01          4.9581444E+02
1.5726534E+01          4.3685822E+02
1.5755443E+01          3.2245387E+02
1.5784352E+01          2.2556387E+02
1.5813261E+01          1.5029865E+02
1.5842170E+01          7.7406419E+01
1.5871079E+01          4.0012615E+01
1.5899988E+01          1.1894225E+02
1.5928898E+01          3.5455227E+02
1.5957807E+01          6.7523244E+02
1.5986716E+01          9.1809589E+02
1.6015625E+01          9.3434719E+02
1.6044534E+01          7.0964663E+02
1.6073443E+01          3.8589338E+02
1.6102352E+01          1.4657922E+02
1.6131261E+01          7.3647220E+01
1.6160170E+01          1.1175776E+02
1.6189079E+01          1.8036898E+02
1.6217988E+01          3.0906524E+02
1.6246897E+01          6.1539409E+02
1.6275806E+01          1.1128477E+03
1.6304715E+01          1.5638413E+03
1.6333625E+01          1.6350594E+03
1.6362534E+01          1.2675922E+03
1.6391443E+01          8.3736557E+02
1.6420352E+01          8.8065669E+02
1.6449261E+01          1.5799180E+03
1.6478170E+01          2.4936066E+03
1.6507079E+01          2.9017804E+03
1.6535988E+01          2.4634104E+03
1.6564897E+01          1.4955361E+03
1.6593806E+01          6.3146895E+02
1.6622715E+01          2.3514372E+02
1.6651624E+01          1.6540904E+02
1.6680533E+01          1.0880146E+02
1.6709442E+01          4.5506989E+01
1.6738352E+01          2.8823689E+02
1.6767261E+01          1.0628467E+03
1.6796170E+01          2.1161119E+03
1.6825079E+01          2.8309082E+03
1.6853988E+01          2.7651056E+03
1.6882897E+01          2.0363822E+03
1.6911806E+01          1.2045052E+03
1.6940715E+01          8.1133441E+02
1.6969624E+01          9.6068513E+02
1.6998533E+01          1.3066223E+03
1.7027442E+01          1.4378070E+03
1.7056351E+01          1.2229978E+03
1.7085260E+01          8.4661498E+02
1.7114169E+01          6.0559951E+02
1.7143079E+01          6.5215567E+02
1.7171988E+01          8.8256798E+02
1.7200897E+01          1.0409681E+03
1.7229806E+01          9.3642185E+02
1.7258715E+01          6.1441173E+02
1.7287624E+01          3.4241097E+02
1.7316533E+01          4.0490190E+02
1.7345442E+01          8.8134623E+02
1.7374351E+01          1.5999331E+03
1.7403260E+01          2.2825056E+03
1.7432169E+01          2.7224233E+03
1.7461078E+01          2.8481918E+03
1.7489987E+01          2.6596896E+03
1.7518896E+01          2.1665717E+03
1.7547805E+01          1.4452013E+03
1.7576715E+01          7.2001545E+02
1.7605624E+01          2.8995327E+02
1.7634533E+01          3.0999441E+02
1.7663442E+01          6.2931671E+02
1.7692351E+01          8.7869742E+02
1.7721260E+01          7.8297179E+02
1.7750169E+01          4.0793240E+02
1.7779078E+01          7.6241909E+01
1.7807987E+01          3.3148919E+01
1.7836896E+01          2.0341552E+02
1.7865805E+01          3.0221922E+02
1.7894714E+01          1.9887127E+02
1.7923623E+01          1.2843767E+02
1.7952532E+01          4.8585965E+02
1.7981442E+01          1.3724578E+03
1.8010351E+01          2.3595679E+03
1.8039260E+01          2.7774431E+03
1.8068169E+01          2.3059937E+03
1.8097078E+01          1.3082246E+03
1.8125987E+01          5.5520289E+02
1.8154896E+01          5.5889348E+02
1.8183805E+01          1.1361910E+03
1.8212714E+01          1.6092441E+03
1.8241623E+01          1.4518518E+03
1.8270532E+01          7.6927442E+02
1.8299441E+01          1.4078747E+02
1.8328350E+01          3.7970932E+01
1.8357259E+01          4.2773675E+02
1.8386169E+01          8.7835926E+02
1.8415078E+01          1.0035573E+03
1.8443987E+01          7.7825888E+02
1.8472896E+01          4.4113841E+02
1.8501805E+01          2.0280579E+02
1.8530714E+01          1.0941379E+02
1.8559623E+01          1.2827230E+02
1.8588532E+01          2.6442552E+02
1.8617441E+01          5.3470640E+02
1.8646350E+01          8.6114121E+02
1.8675259E+01          1.0738345E+03
1.8704168E+01          1.0748243E+03
1.8733077E+01          9.6724714E+02
1.8761986E+01          9.5014293E+02
1.8790895E+01          1.0914708E+03
1.8819805E+01          1.2449839E+03
1.8848714E+01          1.1941877E+03
1.8877623E+01          8.7897055E+02
1.8906532E+01          4.8170415E+02
1.8935441E+01          2.8423866E+02
1.8964350E+01          4.3535235E+02
1.8993259E+01          8.4437829E+02
